 time            v(Ain)          v(COMPout)     
 6.14750000e-06  5.15625000e-01  1.76394802e-02 
 6.14850000e-06  5.15625000e-01  1.76392875e-02 
 6.14950000e-06  5.15625000e-01  1.76390755e-02 
 6.15050000e-06  5.15625000e-01  1.76388830e-02 
 6.15150000e-06  5.15625000e-01  1.76386711e-02 
 6.15250000e-06  5.15625000e-01  1.76384787e-02 
 6.15350000e-06  5.15625000e-01  1.76382669e-02 
 6.15450000e-06  5.15625000e-01  1.76380746e-02 
 6.15550000e-06  5.15625000e-01  1.76378630e-02 
 6.15650000e-06  5.15625000e-01  1.76376708e-02 
 6.15750000e-06  5.15625000e-01  1.76374593e-02 
 6.15850000e-06  5.15625000e-01  1.76372673e-02 
 6.15950000e-06  5.15625000e-01  1.76370559e-02 
 6.16050000e-06  5.15625000e-01  1.76368640e-02 
 6.16150000e-06  5.15625000e-01  1.76366527e-02 
 6.16250000e-06  5.15625000e-01  1.76364609e-02 
 6.16350000e-06  5.15625000e-01  1.76362497e-02 
 6.16450000e-06  5.15625000e-01  1.76360581e-02 
 6.16550000e-06  5.15625000e-01  1.76358470e-02 
 6.16650000e-06  5.15625000e-01  1.76356555e-02 
 6.16750000e-06  5.15625000e-01  1.76354446e-02 
 6.16850000e-06  5.15625000e-01  1.76352532e-02 
 6.16950000e-06  5.15625000e-01  1.76350424e-02 
 6.17050000e-06  5.15625000e-01  1.76348511e-02 
 6.17150000e-06  5.15625000e-01  1.76346404e-02 
 6.17250000e-06  5.15625000e-01  1.76344492e-02 
 6.17350000e-06  5.15625000e-01  1.76342387e-02 
 6.17450000e-06  5.15625000e-01  1.76340476e-02 
 6.17550000e-06  5.15625000e-01  1.76338372e-02 
 6.17650000e-06  5.15625000e-01  1.76336463e-02 
 6.17750000e-06  5.15625000e-01  1.76334360e-02 
 6.17850000e-06  5.15625000e-01  1.76332452e-02 
 6.17950000e-06  5.15625000e-01  1.76330350e-02 
 6.18050000e-06  5.15625000e-01  1.76328443e-02 
 6.18150000e-06  5.15625000e-01  1.76326342e-02 
 6.18250000e-06  5.15625000e-01  1.76324437e-02 
 6.18350000e-06  5.15625000e-01  1.76322337e-02 
 6.18450000e-06  5.15625000e-01  1.76320433e-02 
 6.18550000e-06  5.15625000e-01  1.76318335e-02 
 6.18650000e-06  5.15625000e-01  1.76316432e-02 
 6.18750000e-06  5.15625000e-01  1.76314335e-02 
 6.18850000e-06  5.15625000e-01  1.76312433e-02 
 6.18950000e-06  5.15625000e-01  1.76310337e-02 
 6.19050000e-06  5.15625000e-01  1.76308436e-02 
 6.19150000e-06  5.15625000e-01  1.76306342e-02 
 6.19250000e-06  5.15625000e-01  1.76304442e-02 
 6.19350000e-06  5.15625000e-01  1.76302349e-02 
 6.19450000e-06  5.15625000e-01  1.76300451e-02 
 6.19550000e-06  5.15625000e-01  1.76298358e-02 
 6.19650000e-06  5.15625000e-01  1.76296461e-02 
 6.19750000e-06  5.15625000e-01  1.76294370e-02 
 6.19850000e-06  5.15625000e-01  1.76292475e-02 
 6.19950000e-06  5.15625000e-01  1.76290385e-02 
 6.20050000e-06  5.15625000e-01  1.76288490e-02 
 6.20150000e-06  5.15625000e-01  1.76286401e-02 
 6.20250000e-06  5.15625000e-01  1.76284508e-02 
 6.20350000e-06  5.15625000e-01  1.76282420e-02 
 6.20450000e-06  5.15625000e-01  1.76280528e-02 
 6.20550000e-06  5.15625000e-01  1.76278442e-02 
 6.20650000e-06  5.15625000e-01  1.76276551e-02 
 6.20750000e-06  5.15625000e-01  1.76274466e-02 
 6.20850000e-06  5.15625000e-01  1.76272576e-02 
 6.20950000e-06  5.15625000e-01  1.76270492e-02 
 6.21050000e-06  5.15625000e-01  1.76268604e-02 
 6.21150000e-06  5.15625000e-01  1.76266521e-02 
 6.21250000e-06  5.15625000e-01  1.76264634e-02 
 6.21350000e-06  5.15625000e-01  1.76262552e-02 
 6.21450000e-06  5.15625000e-01  1.76260666e-02 
 6.21550000e-06  5.15625000e-01  1.76258586e-02 
 6.21650000e-06  5.15625000e-01  1.76256701e-02 
 6.21750000e-06  5.15625000e-01  1.76254622e-02 
 6.21850000e-06  5.15625000e-01  1.76252738e-02 
 6.21950000e-06  5.15625000e-01  1.76250660e-02 
 6.22050000e-06  5.15625000e-01  1.76248778e-02 
 6.22150000e-06  5.15625000e-01  1.76246701e-02 
 6.22250000e-06  5.15625000e-01  1.76244819e-02 
 6.22350000e-06  5.15625000e-01  1.76242744e-02 
 6.22450000e-06  5.15625000e-01  1.76240864e-02 
 6.22550000e-06  5.15625000e-01  1.76238789e-02 
 6.22650000e-06  5.15625000e-01  1.76236910e-02 
 6.22750000e-06  5.15625000e-01  1.76234837e-02 
 6.22850000e-06  5.15625000e-01  1.76232959e-02 
 6.22950000e-06  5.15625000e-01  1.76230887e-02 
 6.23050000e-06  5.15625000e-01  1.76229011e-02 
 6.23150000e-06  5.15625000e-01  1.76226940e-02 
 6.23250000e-06  5.15625000e-01  1.76225064e-02 
 6.23350000e-06  5.15625000e-01  1.76222994e-02 
 6.23450000e-06  5.15625000e-01  1.76221120e-02 
 6.23550000e-06  5.15625000e-01  1.76219052e-02 
 6.23650000e-06  5.15625000e-01  1.76217179e-02 
 6.23750000e-06  5.15625000e-01  1.76215111e-02 
 6.23850000e-06  5.15625000e-01  1.76213240e-02 
 6.23950000e-06  5.15625000e-01  1.76211173e-02 
 6.24050000e-06  5.15625000e-01  1.76209303e-02 
 6.24150000e-06  5.15625000e-01  1.76207238e-02 
 6.24250000e-06  5.15625000e-01  1.76205368e-02 
 6.24350000e-06  5.15625000e-01  1.76203304e-02 
 6.24450000e-06  5.15625000e-01  1.76201436e-02 
 6.24550000e-06  5.15625000e-01  1.76199373e-02 
 6.24650000e-06  5.15625000e-01  1.76197506e-02 
 6.24750000e-06  5.15625000e-01  1.76195445e-02 
 6.24850000e-06  5.15625000e-01  1.76193579e-02 
 6.24950000e-06  5.15625000e-01  1.76191518e-02 
 6.25050000e-06  5.15625000e-01  1.76189654e-02 
 6.25150000e-06  5.15625000e-01  1.76187594e-02 
 6.25250000e-06  5.15625000e-01  1.76185731e-02 
 6.25350000e-06  5.15625000e-01  1.76183673e-02 
 6.25450000e-06  5.15625000e-01  1.76181810e-02 
 6.25550000e-06  5.15625000e-01  1.76179754e-02 
 6.25650000e-06  5.15625000e-01  1.76177892e-02 
 6.25750000e-06  5.15625000e-01  1.76175837e-02 
