 time            v(D_latch)      v(D_latch_bar)  v(Aout)         v(sh_pos)       v(sh_neg)      
 2.96485361e-06  1.80000052e+00 -1.15156305e-06  7.70062930e-01  7.48498230e-01  7.48447970e-01 
 2.98485361e-06  1.79999894e+00  1.60887547e-06  7.70229614e-01  7.48452718e-01  7.48495812e-01 
 3.00000000e-06  1.80000047e+00 -1.16164078e-06  7.70112349e-01  7.48492124e-01  7.48457519e-01 
 3.00200000e-06  1.79999267e+00  9.00698702e-07  7.70134095e-01  7.48479995e-01  7.48470009e-01 
 3.00600000e-06  1.79999146e+00 -1.20765615e-07  7.70162288e-01  7.48473126e-01  7.48477284e-01 
 3.01400000e-06  1.79999698e+00  4.64113923e-07  7.70158792e-01  7.48477028e-01  7.48474157e-01 
 3.03000000e-06  1.79999840e+00  3.37457431e-08  7.70158480e-01  7.48475271e-01  7.48477483e-01 
 3.05000000e-06  1.80000002e+00  3.86207026e-07  7.70161901e-01  7.48478362e-01  7.48476342e-01 
 3.07000000e-06  1.79999937e+00  9.77783020e-08  7.70159502e-01  7.48477541e-01  7.48479122e-01 
 3.09000000e-06  1.79999987e+00  2.97848147e-07  7.70164723e-01  7.48480049e-01  7.48478565e-01 
 3.11000000e-06  1.79999754e+00 -2.47105883e-06  7.70170750e-01  7.48479725e-01  7.48480850e-01 
 3.12402028e-06  1.80000715e+00  1.14798862e-05  7.70179890e-01  7.48481485e-01  7.48480458e-01 
 3.13678923e-06  1.79998867e+00 -1.80862903e-05  7.70122716e-01  7.48481258e-01  7.48481924e-01 
 3.15336288e-06  1.80001257e+00  2.30628146e-05  7.70223680e-01  7.48482754e-01  7.48482068e-01 
 3.17336288e-06  1.79998595e+00 -2.57212179e-05  7.70094980e-01  7.48483151e-01  7.48483599e-01 
 3.19336288e-06  1.80001405e+00  2.89602741e-05  7.70247250e-01  7.48484630e-01  7.48484108e-01 
 3.20000000e-06  1.79998409e+00 -3.49048480e-05  7.70070052e-01  7.48484570e-01  7.48484777e-01 
 3.20200000e-06  1.79999784e+00  3.22908997e-06  7.70163107e-01  7.48484781e-01  7.48484781e-01 
 3.20600000e-06  1.80000145e+00 -1.04310697e-06  7.70182065e-01  7.48485033e-01  7.48484926e-01 
 3.21400000e-06  1.79999820e+00  9.16774175e-07  7.70154902e-01  7.48485393e-01  7.48485341e-01 
 3.23000000e-06  1.80000115e+00 -2.32298630e-07  7.70182294e-01  7.48486199e-01  7.48486105e-01 
 3.25000000e-06  1.79999839e+00  5.14945300e-07  7.70157873e-01  7.48487155e-01  7.48487098e-01 
 3.27000000e-06  1.80000098e+00  8.64374193e-08  7.70182570e-01  7.48488152e-01  7.48488062e-01 
 3.29000000e-06  1.79999855e+00  2.34449510e-07  7.70161276e-01  7.48489113e-01  7.48489051e-01 
 3.31000000e-06  1.80000083e+00  3.41080895e-07  7.70182638e-01  7.48490105e-01  7.48490019e-01 
