 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.76725746e-01  1.13486010e-05  2.76725746e-01  8.67789202e-06  2.76725746e-01  2.93325485e-01 
 2.76725231e-01  1.13486017e-05  2.76725231e-01  8.69371866e-06  2.76725231e-01  2.93321161e-01 
 2.76720334e-01  1.13486021e-05  2.76720334e-01  8.84281035e-06  2.76720334e-01  2.93318521e-01 
 2.76718927e-01  1.13486028e-05  2.76718927e-01  8.88520362e-06  2.76718927e-01  2.93314661e-01 
 2.76715762e-01  1.13486034e-05  2.76715762e-01  8.97988969e-06  2.76715762e-01  2.93311514e-01 
 2.76716051e-01  1.13486042e-05  2.76716051e-01  8.97129161e-06  2.76716051e-01  2.93307046e-01 
 2.76710688e-01  1.13486045e-05  2.76710688e-01  9.12960007e-06  2.76710688e-01  2.93304906e-01 
 2.76708789e-01  1.13486052e-05  2.76708789e-01  9.18496777e-06  2.76708789e-01  2.93301435e-01 
 2.76705150e-01  1.13486056e-05  2.76705150e-01  9.29007379e-06  2.76705150e-01  2.93298738e-01 
 2.76704920e-01  1.13486064e-05  2.76704920e-01  9.29667754e-06  2.76704920e-01  2.93294610e-01 
 2.76700399e-01  1.13486068e-05  2.76700399e-01  9.42537797e-06  2.76700399e-01  2.93292429e-01 
 2.76699290e-01  1.13486075e-05  2.76699290e-01  9.45663405e-06  2.76699290e-01  2.93288805e-01 
 2.76696453e-01  1.13486080e-05  2.76696453e-01  9.53606129e-06  2.76696453e-01  2.93285997e-01 
 2.76696995e-01  1.13486088e-05  2.76696995e-01  9.52096803e-06  2.76696995e-01  2.93281414e-01 
 2.76691348e-01  1.13486090e-05  2.76691348e-01  9.67700764e-06  2.76691348e-01  2.93280053e-01 
 2.76689113e-01  1.13486096e-05  2.76689113e-01  9.73795024e-06  2.76689113e-01  2.93277140e-01 
 2.76685167e-01  1.13486099e-05  2.76685167e-01  9.84431995e-06  2.76685167e-01  2.93275112e-01 
 2.76684561e-01  1.13486106e-05  2.76684561e-01  9.86052236e-06  2.76684561e-01  2.93271458e-01 
 2.76679751e-01  1.13486109e-05  2.76679751e-01  9.98789382e-06  2.76679751e-01  2.93270002e-01 
 2.76678281e-01  1.13486114e-05  2.76678281e-01  1.00263692e-05  2.76678281e-01  2.93266912e-01 
 2.76675119e-01  1.13486118e-05  2.76675119e-01  1.01084631e-05  2.76675119e-01  2.93264741e-01 
 2.76675267e-01  1.13486126e-05  2.76675267e-01  1.01046530e-05  2.76675267e-01  2.93260855e-01 
 2.76669983e-01  1.13486127e-05  2.76669983e-01  1.02397855e-05  2.76669983e-01  2.93259943e-01 
 2.76668020e-01  1.13486131e-05  2.76668020e-01  1.02893078e-05  2.76668020e-01  2.93257301e-01 
 2.76664381e-01  1.13486135e-05  2.76664381e-01  1.03802105e-05  2.76664381e-01  2.93255632e-01 
 2.76664011e-01  1.13486142e-05  2.76664011e-01  1.03893922e-05  2.76664011e-01  2.93252154e-01 
 2.76659509e-01  1.13486143e-05  2.76659509e-01  1.04999560e-05  2.76659509e-01  2.93251098e-01 
 2.76658283e-01  1.13486148e-05  2.76658283e-01  1.05297364e-05  2.76658283e-01  2.93248222e-01 
 2.76655389e-01  1.13486152e-05  2.76655389e-01  1.05995230e-05  2.76655389e-01  2.93246357e-01 
